freq_hz,h1_db,h2_target_db,h2_target_linear,htotal_target_db
5500000000.000000,-0.277289155,0.277289155,1.032439133735,0.000000000
5501000000.000000,-0.288613798,0.288613798,1.033786103408,0.000000000
5502000000.000000,-0.270425438,0.270425438,1.031623607498,0.000000000
5503000000.000000,-0.282910591,0.282910591,1.033107536080,0.000000000
5504000000.000000,-0.264355900,0.264355900,1.030902979933,0.000000000
5505000000.000000,-0.268307730,0.268307730,1.031372117857,0.000000000
5506000000.000000,-0.270349037,0.270349037,1.031614533386,0.000000000
5507000000.000000,-0.266387857,0.266387857,1.031144175211,0.000000000
5508000000.000000,-0.270837720,0.270837720,1.031672575416,0.000000000
5509000000.000000,-0.282109232,0.282109232,1.033012226115,0.000000000
5510000000.000000,-0.279347177,0.279347177,1.032683787338,0.000000000
5511000000.000000,-0.282183467,0.282183467,1.033021054916,0.000000000
5512000000.000000,-0.274238040,0.274238040,1.032076529851,0.000000000
5513000000.000000,-0.268435584,0.268435584,1.031387299494,0.000000000
5514000000.000000,-0.264625948,0.264625948,1.030935031643,0.000000000
5515000000.000000,-0.269087352,0.269087352,1.031464695188,0.000000000
5516000000.000000,-0.275882906,0.275882906,1.032271994957,0.000000000
5517000000.000000,-0.290128678,0.290128678,1.033966418670,0.000000000
5518000000.000000,-0.275855476,0.275855476,1.032268735052,0.000000000
5519000000.000000,-0.279627019,0.279627019,1.032717058881,0.000000000
5520000000.000000,-0.283820076,0.283820076,1.033215716708,0.000000000
5521000000.000000,-0.268122826,0.268122826,1.031350162386,0.000000000
5522000000.000000,-0.265623792,0.265623792,1.031053473331,0.000000000
5523000000.000000,-0.262693003,0.262693003,1.030705634416,0.000000000
5524000000.000000,-0.267363811,0.267363811,1.031260041963,0.000000000
5525000000.000000,-0.279729636,0.279729636,1.032729259698,0.000000000
5526000000.000000,-0.265078886,0.265078886,1.030988792610,0.000000000
5527000000.000000,-0.282855263,0.282855263,1.033100955339,0.000000000
5528000000.000000,-0.259129128,0.259129128,1.030282816177,0.000000000
5529000000.000000,-0.260809121,0.260809121,1.030482108983,0.000000000
5530000000.000000,-0.262090203,0.262090203,1.030634106015,0.000000000
5531000000.000000,-0.263385511,0.263385511,1.030787813718,0.000000000
5532000000.000000,-0.275370289,0.275370289,1.032211074939,0.000000000
5533000000.000000,-0.263885652,0.263885652,1.030847169076,0.000000000
