tone_index,fft_bin,freq_hz,phase_rad
0,15156,5550292968.750000,0.992322998016
1,15205,5568237304.687500,2.180022227490
2,15254,5586181640.625000,5.972195171214
3,15303,5604125976.562500,5.208824233957
4,15352,5622070312.500000,1.707660493896
5,15402,5640380859.375000,5.196674964370
6,15451,5658325195.312500,3.624899817304
7,15500,5676269531.250000,3.862067379538
8,15549,5694213867.187500,2.731507831480
9,15598,5712158203.125000,4.102858825477
10,15647,5730102539.062500,3.584518341516
11,15696,5748046875.000000,3.197535153557
12,15745,5765991210.937500,4.915634535494
13,15795,5784301757.812500,2.845626644112
14,15844,5802246093.750000,2.091315326419
15,15893,5820190429.687500,0.419713975403
16,15942,5838134765.625000,0.639071787577
17,15991,5856079101.562500,4.537573875802
18,16040,5874023437.500000,0.052315016524
19,16089,5891967773.437500,0.548109163333
20,16138,5909912109.375000,4.101327105578
21,16188,5928222656.250000,1.824339727430
22,16237,5946166992.187500,0.047524971919
23,16286,5964111328.125000,4.928517834211
24,16335,5982055664.062500,0.407931010187
25,16384,6000000000.000000,0.401029000398
26,16433,6017944335.937500,1.028407969631
27,16482,6035888671.875000,5.305266222330
28,16531,6053833007.812500,2.539288067354
29,16580,6071777343.750000,3.040923681356
30,16630,6090087890.625000,3.658858553942
31,16679,6108032226.562500,5.552993402773
32,16728,6125976562.500000,2.951349885307
33,16777,6143920898.437500,3.403240422560
34,16826,6161865234.375000,4.422085767837
35,16875,6179809570.312500,3.439326761567
36,16924,6197753906.250000,2.668576341855
37,16973,6215698242.187500,6.201052174182
38,17023,6234008789.062500,1.238548851817
39,17072,6251953125.000000,5.823687903606
40,17121,6269897460.937500,4.236514340248
41,17170,6287841796.875000,1.098571228219
42,17219,6305786132.812500,2.291967989691
43,17268,6323730468.750000,3.134738205267
44,17317,6341674804.687500,0.649326896148
45,17366,6359619140.625000,4.650044539488
46,17416,6377929687.500000,1.800481165908
47,17465,6395874023.437500,3.851800715125
48,17514,6413818359.375000,5.239651895600
49,17563,6431762695.312500,5.547146297760
50,17612,6449707031.250000,5.719149687591
