tone_index,fft_bin,freq_hz,phase_rad
0,19388,3550048828.125000,4.070798740318
1,19486,3567993164.062500,0.560024446462
2,19585,3586120605.468750,5.166294333209
3,19683,3604064941.406250,4.997755262923
4,19781,3622009277.343750,0.489932574961
5,19879,3639953613.281250,4.506643422298
6,19978,3658081054.687500,5.103149454390
7,20076,3676025390.625000,4.512178661645
8,20174,3693969726.562500,4.424365992717
9,20273,3712097167.968750,5.062186882593
10,20371,3730041503.906250,1.354484606751
11,20469,3747985839.843750,3.104588733941
12,20567,3765930175.781250,6.262004703708
13,20666,3784057617.187500,5.450930029025
14,20764,3802001953.125000,2.237806974694
15,20862,3819946289.062500,3.284176355382
16,20960,3837890625.000000,3.361350875298
17,21059,3856018066.406250,3.649687234305
18,21157,3873962402.343750,0.230466036559
19,21255,3891906738.281250,5.780424707418
20,21354,3910034179.687500,3.989474063077
21,21452,3927978515.625000,4.140760214132
22,21550,3945922851.562500,3.496392253724
23,21648,3963867187.500000,6.005124848077
24,21747,3981994628.906250,0.490433929324
25,21845,3999938964.843750,3.661397601152
26,21943,4017883300.781250,2.215555674566
27,22042,4036010742.187500,1.883066592044
28,22140,4053955078.125000,2.381075691778
29,22238,4071899414.062500,3.151028646183
30,22336,4089843750.000000,1.906728466153
31,22435,4107971191.406250,0.481759205301
32,22533,4125915527.343750,4.318199223933
33,22631,4143859863.281250,2.298265482107
34,22730,4161987304.687500,1.120299188022
35,22828,4179931640.625000,5.224818283475
36,22926,4197875976.562500,2.923703057431
37,23024,4215820312.500000,6.164290499797
38,23123,4233947753.906250,2.049462381602
39,23221,4251892089.843750,0.536539496076
40,23319,4269836425.781250,3.194194041749
41,23417,4287780761.718750,1.280303658823
42,23516,4305908203.125000,5.740532965459
43,23614,4323852539.062500,4.141112746400
44,23712,4341796875.000000,5.406494115381
45,23811,4359924316.406250,4.092904293015
46,23909,4377868652.343750,5.219590762426
47,24007,4395812988.281250,3.229053401627
48,24105,4413757324.218750,4.485069397252
49,24204,4431884765.625000,5.552977535104
50,24302,4449829101.562500,3.500803577286
