tone_index,fft_bin,freq_hz,phase_rad
0,15156,5550292968.750000,0.313387284193
1,15205,5568237304.687500,6.016487519653
2,15254,5586181640.625000,0.416774280848
3,15303,5604125976.562500,1.015055665487
4,15352,5622070312.500000,4.663850607102
5,15402,5640380859.375000,2.920478222199
6,15451,5658325195.312500,2.585960677986
7,15500,5676269531.250000,3.201844831909
8,15549,5694213867.187500,4.711772291317
9,15598,5712158203.125000,2.528806270511
10,15647,5730102539.062500,2.866172555461
11,15696,5748046875.000000,4.156822862943
12,15745,5765991210.937500,3.412576289862
13,15795,5784301757.812500,3.840214506021
14,15844,5802246093.750000,3.252185991676
15,15893,5820190429.687500,2.934654911946
16,15942,5838134765.625000,4.092928048621
17,15991,5856079101.562500,4.181283243571
18,16040,5874023437.500000,2.991945804884
19,16089,5891967773.437500,3.780450108634
20,16138,5909912109.375000,5.635325532982
21,16188,5928222656.250000,3.027536562308
22,16237,5946166992.187500,4.075001053716
23,16286,5964111328.125000,4.535437047405
24,16335,5982055664.062500,6.179213926359
25,16384,6000000000.000000,5.079722393730
26,16433,6017944335.937500,3.420813639403
27,16482,6035888671.875000,5.701186533851
28,16531,6053833007.812500,0.468021994988
29,16580,6071777343.750000,4.615653074119
30,16630,6090087890.625000,3.822104258081
31,16679,6108032226.562500,3.312202505625
32,16728,6125976562.500000,1.513254563054
33,16777,6143920898.437500,0.592432443844
34,16826,6161865234.375000,5.072608567876
35,16875,6179809570.312500,5.064215278964
36,16924,6197753906.250000,4.359894465134
37,16973,6215698242.187500,1.436188515088
38,17023,6234008789.062500,4.972886031114
39,17072,6251953125.000000,4.794336439286
40,17121,6269897460.937500,4.263744268097
41,17170,6287841796.875000,1.038961405680
42,17219,6305786132.812500,2.029170210613
43,17268,6323730468.750000,4.727352571575
44,17317,6341674804.687500,1.298372002701
45,17366,6359619140.625000,5.791620418690
46,17416,6377929687.500000,4.301579383444
47,17465,6395874023.437500,0.229380516034
48,17514,6413818359.375000,5.077485410087
49,17563,6431762695.312500,1.679372183280
50,17612,6449707031.250000,2.227775910927
